depth (m),PAR (mW/cm2/micron),Ed380 (mW/cm2/micron),Ed443 (mW/cm2/micron),Ed490 (mW/cm2/micron),Ed555 (mW/cm2/micron)
97.7,0.009,0,0.009,0.049,0.004
95,0.01,0.001,0.01,0.053,0.005
92.2,0.011,0,0.011,0.058,0.006
89.4,0.013,0.001,0.012,0.063,0.007
86.9,0.014,0.001,0.013,0.069,0.009
84.4,0.016,0.001,0.015,0.075,0.011
82,0.018,0.001,0.016,0.082,0.013
79.7,0.02,0.001,0.018,0.089,0.016
76.9,0.022,0.001,0.019,0.096,0.019
74.2,0.025,0.002,0.021,0.104,0.024
71.7,0.028,0.002,0.023,0.114,0.029
69.1,0.032,0.002,0.026,0.125,0.035
66.9,0.036,0.003,0.028,0.135,0.043
64.9,0.04,0.003,0.031,0.147,0.052
61.9,0.045,0.004,0.034,0.16,0.064
58.6,0.053,0.005,0.038,0.177,0.081
55.7,0.062,0.006,0.043,0.198,0.104
53.1,0.072,0.007,0.048,0.218,0.132
50.3,0.085,0.009,0.054,0.242,0.169
47,0.102,0.012,0.061,0.27,0.218
44,0.126,0.016,0.075,0.318,0.286
41,0.17,0.023,0.104,0.415,0.392
38,0.239,0.037,0.153,0.569,0.553
35.1,0.335,0.057,0.226,0.782,0.78
32.5,0.486,0.092,0.347,1.113,1.124
29.6,0.696,0.148,0.53,1.566,1.593
28,0.882,0.203,0.704,1.961,1.995
27.1,0.95,0.226,0.772,2.105,2.14
26.5,1.127,0.283,0.947,2.477,2.514
25.5,1.212,0.314,1.038,2.652,2.69
24.1,1.448,0.395,1.274,3.136,3.194
22,1.83,0.543,1.689,3.906,3.976
21.2,2.189,0.686,2.085,4.623,4.705
19.3,2.733,0.919,2.721,5.69,5.777
18,3.314,1.157,3.403,6.841,6.909
16.3,4.078,1.558,4.413,8.282,8.279
15.2,4.864,1.948,5.449,9.77,9.679
13.2,5.935,2.573,6.928,11.692,11.525
12.2,7.236,3.275,8.705,14.01,13.73
11.7,7.69,3.596,9.418,14.788,14.39
10.2,9.344,4.512,11.7,17.659,17.106
9.2,12.329,5.974,15.678,22.883,22.113
9,12.886,6.351,16.558,23.749,22.825
8.7,13.434,6.815,17.405,24.411,23.428
8,15.328,7.7,19.813,27.643,26.697
7.4,15.141,7.812,19.692,27.047,26.09
6.8,17.17,8.877,22.437,30.25,29.075
6.6,19.611,10.054,25.696,34.366,32.963
6.5,17.147,9.382,22.722,29.684,28.28
6.2,19.492,10.593,25.76,33.202,31.681
5.6,22.235,11.972,29.309,37.388,35.706
4.7,22.714,12.586,30.195,37.816,35.849
4.3,26.406,14.159,34.78,43.12,40.809
4.2,27.594,14.975,36.212,44.251,41.936
3.8,31.051,16.339,40.271,48.649,45.971
3.4,37.201,19.515,47.643,57.061,54.524
2.8,29.858,16.684,38.543,44.898,42.161
2.5,29.094,16.703,36.872,42.343,40.186
2.1,39.873,21.394,49.842,56.626,53.417
1.7,30.616,18.818,39.09,42.715,39.602
1.2,48.212,24.679,56.615,63.025,60.619
0.9,40.51,21.602,47.456,51.911,49.3
0.6,62.544,30.594,71.481,78.617,74.106
0.3,47.745,26.352,56.097,58.774,53.997
0.2,58.763,34.025,70.3,70.602,62.97
0,81.756,38.22,86.083,90.936,86.356
0,79.914,38.312,84.996,89.198,84.232
0,77.08,36.617,81.627,85.87,81.305
0,67.497,32.031,71.348,75.142,71.273
0,78.887,37.535,83.568,87.887,83.197
0,74.452,35.203,78.68,82.887,78.593
0,82.536,38.687,87.002,91.839,87.153
0,70.417,33.675,74.735,78.516,74.272
0,68.674,33.514,73.612,77.036,72.448
0,81.169,38.451,85.889,90.418,85.614
0,89.443,41.759,94.148,99.487,94.435
