depth (m),PAR (microE/m2/s),Ed380 (mW/cm2/micron),Ed443 (mW/cm2/micron),Ed490 (mW/cm2/micron),Ed555 (mW/cm2/micron)
198.93,0.010615,0.000820,0.000298,0.009838,0.001351
197.98,0.027278,0.000453,0.001271,0.009566,0.001850
196.96,0.031472,0.001193,0.002380,0.010052,0.001570
195.82,0.030238,0.000472,0.001715,0.010981,0.002484
194.94,0.037102,0.000628,0.000724,0.011090,0.001407
193.99,0.019515,0.000090,0.001724,0.011731,0.001584
192.72,0.036691,0.000991,0.000871,0.011661,0.001909
191.82,0.030922,0.000027,0.000860,0.013229,0.001136
190.96,0.030639,0.000835,0.001569,0.012268,0.001597
189.99,0.040016,0.001535,0.000772,0.012821,0.001621
188.83,0.038154,0.000761,0.001202,0.012981,0.002126
188.00,0.054558,0.000771,0.001359,0.012606,0.001391
186.91,0.040880,0.001089,0.002323,0.013722,0.001318
185.82,0.014956,0.001453,0.001871,0.014982,0.001729
184.94,0.033169,0.001061,0.004532,0.014750,0.000355
183.84,0.034331,0.001942,0.002600,0.014335,0.000729
182.79,0.039585,0.001067,0.002127,0.016716,-0.000071
181.98,0.014042,0.000375,0.002608,0.016974,-0.000623
180.91,0.043310,0.000171,0.002480,0.017514,-0.000254
179.84,0.038881,0.000995,0.002419,0.018291,0.000036
178.90,0.055905,0.001475,0.003591,0.018513,0.000471
177.87,0.048367,0.000893,0.003682,0.019697,0.000494
176.96,0.053545,0.000969,0.002528,0.020426,0.000017
175.91,0.047053,0.000877,0.003050,0.021538,0.001011
174.85,0.039242,0.000715,0.004036,0.022201,-0.000515
173.93,0.043269,0.001262,0.004037,0.022219,0.000877
172.95,0.057540,0.001097,0.003479,0.022567,0.001488
171.83,0.044248,0.001264,0.003759,0.023102,0.000675
170.99,0.036063,0.002006,0.003056,0.024806,0.001607
169.88,0.065204,0.001746,0.003138,0.024950,0.001238
169.01,0.071877,0.001488,0.002351,0.025511,0.000471
168.00,0.045628,0.001575,0.002701,0.025453,0.001369
166.98,0.056636,0.001510,0.002416,0.027347,0.000759
165.94,0.043861,0.001676,0.003027,0.026113,0.003073
164.79,0.049107,0.000921,0.003792,0.028100,0.002445
163.74,0.040755,0.000633,0.003858,0.030892,0.001630
162.90,0.042696,0.001397,0.003294,0.031354,0.001884
161.82,0.057641,0.001200,0.003616,0.031570,0.002932
160.78,0.055030,0.001455,0.004634,0.033691,0.002318
159.88,0.042621,0.001380,0.005173,0.033295,0.001992
158.94,0.070575,0.001420,0.005206,0.032800,0.001804
157.85,0.065781,0.001997,0.006039,0.035180,0.000339
156.92,0.052951,0.000217,0.006867,0.035123,0.000154
155.96,0.055604,0.000952,0.005398,0.036078,0.001137
154.95,0.049191,0.000971,0.005077,0.037855,0.001622
153.83,0.077686,0.000603,0.005942,0.037950,0.001209
152.83,0.074818,0.000668,0.005574,0.039402,0.001158
151.93,0.064093,0.001483,0.006479,0.039547,0.002232
151.01,0.075016,0.001582,0.005335,0.041226,0.000806
149.92,0.089812,0.001329,0.006678,0.043465,0.001326
148.85,0.083586,0.001813,0.006785,0.044036,0.000808
147.80,0.113698,0.001264,0.007636,0.044936,0.001896
146.93,0.123860,0.001453,0.007442,0.046709,0.001999
145.90,0.123999,0.000929,0.009679,0.048958,-0.000103
144.90,0.129953,0.001544,0.009158,0.050205,0.001881
143.99,0.136727,0.000501,0.008672,0.051340,0.001728
142.78,0.109211,-0.000775,0.008292,0.054077,0.001143
141.94,0.123580,0.000773,0.009276,0.054966,0.001885
140.95,0.132368,0.000886,0.010411,0.055848,0.001198
139.93,0.139924,0.000877,0.008544,0.057631,0.001132
138.92,0.140839,-0.000149,0.011040,0.059703,0.002483
137.87,0.150355,0.001189,0.010483,0.061838,0.001884
136.82,0.165407,0.001331,0.010829,0.061991,0.001617
135.76,0.135754,0.000931,0.011050,0.065018,0.001955
134.83,0.149385,0.001350,0.011253,0.067313,0.002590
133.97,0.151538,0.000729,0.012369,0.069644,0.002156
133.00,0.145764,0.001227,0.013364,0.070981,0.003001
131.87,0.179486,0.001400,0.012796,0.073535,0.002057
130.97,0.169399,0.001145,0.012302,0.076490,0.001268
129.96,0.188685,0.000860,0.013475,0.078410,0.002601
128.86,0.185155,0.001754,0.012890,0.081990,0.000258
127.82,0.183575,0.001604,0.013234,0.083550,0.000177
127.00,0.210385,0.001409,0.013035,0.085703,0.002511
125.82,0.216636,0.000787,0.015460,0.089610,0.002844
124.81,0.210875,0.000859,0.015079,0.090624,0.001487
123.81,0.210906,0.001969,0.015417,0.094862,0.001295
122.96,0.209184,0.000910,0.016382,0.096603,0.002966
121.82,0.252756,0.001349,0.017843,0.100144,0.002427
120.80,0.238511,0.001047,0.017887,0.103712,0.002750
119.98,0.249251,0.000607,0.017375,0.104665,0.002206
118.97,0.234448,0.001443,0.019095,0.108337,0.003045
117.80,0.248374,0.000880,0.019080,0.110860,0.004025
116.80,0.257460,0.000674,0.020413,0.114391,0.004615
115.96,0.265326,0.000757,0.022235,0.118071,0.004807
114.90,0.276254,0.000186,0.022493,0.124114,0.004564
113.82,0.283954,0.000541,0.022809,0.126626,0.005090
113.01,0.308076,0.001298,0.023860,0.129515,0.003761
111.83,0.310163,0.000965,0.024393,0.136024,0.004786
110.85,0.327353,0.000337,0.025675,0.138578,0.005885
109.84,0.331787,0.000056,0.026342,0.144173,0.006672
108.87,0.337679,0.000593,0.026529,0.146578,0.005317
107.91,0.349122,0.001631,0.029240,0.151441,0.006112
106.92,0.377135,0.000642,0.027869,0.154454,0.006781
105.94,0.375690,0.000522,0.027547,0.161261,0.007617
105.00,0.374230,0.000434,0.029229,0.166426,0.007508
103.76,0.399391,0.000942,0.031888,0.170645,0.005134
102.99,0.419971,0.001301,0.032629,0.174047,0.006706
101.94,0.447133,0.000289,0.032925,0.180575,0.007661
100.80,0.459900,0.001361,0.036121,0.186233,0.008224
99.81,0.451552,0.001221,0.037424,0.190898,0.008703
98.86,0.461002,0.000717,0.037721,0.198044,0.010051
97.87,0.508131,0.000917,0.039120,0.201862,0.012232
96.93,0.511021,0.000584,0.041732,0.209451,0.010869
95.90,0.550012,0.000185,0.042792,0.215780,0.012938
94.77,0.579156,0.000940,0.042807,0.222755,0.015421
94.00,0.576717,0.000491,0.044061,0.228592,0.014325
92.87,0.601778,0.000275,0.046170,0.236717,0.015973
91.98,0.627416,0.001080,0.048219,0.245040,0.016793
90.97,0.654296,0.000687,0.049596,0.252222,0.018189
89.94,0.668566,0.001810,0.051864,0.260147,0.020539
88.78,0.721320,0.000875,0.054393,0.269867,0.020581
87.96,0.734756,0.001494,0.056073,0.276319,0.022962
86.82,0.786854,0.001945,0.058671,0.287381,0.024341
85.99,0.800092,0.000761,0.060668,0.295948,0.027615
84.96,0.828238,0.001355,0.063429,0.307416,0.028290
83.93,0.875552,0.001166,0.063380,0.316507,0.032197
82.94,0.921308,0.001431,0.067320,0.327494,0.035448
81.81,0.956367,0.001053,0.069811,0.339701,0.037140
80.86,0.976443,0.000855,0.071701,0.351953,0.041104
79.93,1.034803,0.001238,0.075365,0.364702,0.044064
78.90,1.084123,0.001253,0.077567,0.376540,0.048195
77.81,1.125116,0.001228,0.082084,0.394114,0.053174
77.00,1.175240,0.000862,0.084376,0.404260,0.055610
75.99,1.236230,0.000771,0.088374,0.422412,0.061425
74.77,1.320856,0.001048,0.092557,0.439645,0.067773
73.85,1.412923,0.000628,0.095799,0.456691,0.072080
72.87,1.483930,0.000863,0.102046,0.474022,0.078722
72.00,1.536689,0.000172,0.106230,0.492848,0.085252
70.98,1.602655,0.000897,0.110103,0.512332,0.092835
70.01,1.703659,0.001238,0.114828,0.533477,0.100019
